123,13.655308,3.568972,39.159313,0.81192,0.005435,0.057505,0.299051,,0.057505,0.000344,
124,13.766327,3.618621,39.176701,0.756452,0.005414,0.057582,0.299054,,0.057582,0.000421,
125,13.877345,3.618712,39.176792,0.787126,0.005404,0.057497,0.299065,,0.057497,0.000336,
126,13.988364,3.560088,39.183414,0.795343,0.005417,0.057511,0.29905,,0.057511,0.00035,
127,14.099383,3.564965,39.167267,0.806048,0.005446,0.057534,0.299052,,0.057534,0.000373,
128,14.210402,3.631332,39.165539,0.786503,0.005439,0.057512,0.299027,,0.057512,0.000351,
129,14.321421,3.599729,39.133247,0.789536,0.005443,0.057483,0.299021,,0.057483,0.000322,
130,14.432439,3.592849,39.149715,0.759285,0.005446,0.057496,0.299029,,0.057496,0.000335,
131,14.543458,3.689512,39.13422,0.745,0.005475,0.057496,0.298999,,0.057496,0.000335,
132,14.654477,3.524316,39.12326,0.824552,0.005477,0.057495,0.299001,,0.057495,0.000334,
133,14.765496,3.62095,39.129505,0.766672,0.005471,0.057445,0.29899,,0.057445,0.000284,
134,14.876514,3.550558,39.118904,0.787104,0.0055,0.057448,0.298984,,0.057448,0.000287,
135,14.987533,3.508912,39.113316,0.778779,0.005512,0.05749,0.298982,,0.05749,0.000329,
136,15.098552,3.436242,39.104805,0.837665,0.005506,0.057484,0.298976,,0.057484,0.000323,
137,15.209571,3.553062,39.117706,0.859755,0.005515,0.057469,0.298972,,0.057469,0.000308,
138,15.320589,3.497605,39.100376,0.843864,0.005508,0.057438,0.298948,,0.057438,0.000277,
139,15.431608,3.497736,39.086403,0.79341,0.005521,0.057454,0.29895,,0.057454,0.000293,
140,15.542627,3.396965,39.097385,0.865197,0.005521,0.057438,0.298989,,0.057438,0.000277,
141,15.653646,3.531192,39.103931,0.801568,0.005531,0.057441,0.298981,,0.057441,0.00028,
142,15.764664,3.45255,39.082733,0.835075,0.005539,0.057447,0.298969,,0.057447,0.000286,
143,15.875683,3.495504,39.081699,0.787244,0.005536,0.057401,0.298958,,0.057401,0.00024,
144,15.986702,3.501472,39.069302,0.819767,0.005545,0.057432,0.298937,,0.057432,0.000271,
145,16.097721,3.480335,39.071213,0.815604,0.005551,0.057413,0.29894,,0.057413,0.000252,
146,16.20874,3.526143,39.074913,0.774301,0.005566,0.057384,0.298945,,0.057384,0.000223,
147,16.319758,3.490599,39.072884,0.803182,0.005564,0.057425,0.298938,,0.057425,0.000264,
148,16.430777,3.525339,39.070255,0.79337,0.005563,0.057386,0.298947,,0.057386,0.000225,
149,16.541796,3.569775,39.04903,0.726286,0.005574,0.05739,0.298898,,0.05739,0.000229,
150,16.652815,3.533243,39.041306,0.802869,0.005574,0.057379,0.298915,,0.057379,0.000218,
151,16.763833,3.515662,39.062153,0.786463,0.005593,0.057391,0.298904,,0.057391,0.00023,
152,16.874852,3.578168,39.030861,0.727902,0.005592,0.057415,0.298913,,0.057415,0.000254,
153,16.985871,3.514338,39.039772,0.761325,0.00558,0.057383,0.298913,,0.057383,0.000222,
154,17.09689,3.516416,39.076435,0.763504,0.005566,0.057387,0.298925,,0.057387,0.000226,
155,17.207908,3.516087,39.116726,0.800046,0.005496,0.057471,0.298982,,0.057471,0.00031,
156,17.318927,3.577026,39.155506,0.778297,0.005436,0.057524,0.299038,,0.057524,0.000363,
157,17.429946,3.682223,39.180355,0.732816,0.00539,0.057537,0.299088,,0.057537,0.000376,
158,17.540965,3.57785,39.177753,0.769289,0.005393,0.057561,0.299086,,0.057561,0.0004,
159,17.651983,3.670106,39.187683,0.736067,0.005413,0.057512,0.299052,,0.057512,0.000351,
160,17.763002,3.661468,39.158649,0.755481,0.00542,0.05752,0.299046,,0.05752,0.000359,
161,17.874021,3.59212,39.157017,0.791016,0.005423,0.057502,0.299021,,0.057502,0.000341,
162,17.98504,3.636589,39.153183,0.775226,0.005445,0.057535,0.29902,,0.057535,0.000374,
163,18.096059,3.540977,39.143646,0.8108,0.005451,0.057541,0.299024,,0.057541,0.00038,
164,18.207077,3.545068,39.151867,0.826642,0.005451,0.057483,0.299028,,0.057483,0.000322,
165,18.318096,3.62323,39.142616,0.745695,0.005457,0.057509,0.299026,,0.057509,0.000348,
166,18.429115,3.537703,39.150948,0.817848,0.005461,0.057486,0.299016,,0.057486,0.000325,
167,18.540134,3.589659,39.137913,0.751105,0.005488,0.057506,0.298999,,0.057506,0.000345,
168,18.651152,3.593593,39.127998,0.759807,0.00548,0.057423,0.298989,,0.057423,0.000262,
169,18.762171,3.590142,39.120998,0.757539,0.0055,0.057437,0.298972,,0.057437,0.000276,
170,18.87319,3.573157,39.121014,0.795213,0.005499,0.057464,0.298995,,0.057464,0.000303,
171,18.984209,3.513358,39.118324,0.820086,0.005507,0.057458,0.298988,,0.057458,0.000297,
172,19.095227,3.529828,39.118462,0.804181,0.005522,0.057489,0.298986,,0.057489,0.000328,
173,19.206246,3.604263,39.103832,0.762149,0.005534,0.057424,0.298966,,0.057424,0.000263,
174,19.317265,3.544266,39.100964,0.801957,0.005525,0.057462,0.298948,,0.057462,0.000301,
