frame,time,rx,ry,rz,px,py,pz
121,1.008231,0.05837,-0.017261,-0.116802,-0.440562,0.063429,0.634705
122,1.016563,0.115725,0.000792,-0.159846,-0.440592,0.063485,0.634719
123,1.024896,0.120682,-0.006994,-0.129829,-0.440602,0.063424,0.634756
124,1.033228,0.160843,-0.008329,-0.065553,-0.440623,0.063505,0.634763
125,1.041561,0.211547,0.018335,-0.141657,-0.440578,0.063475,0.634756
126,1.049893,0.183623,-0.008634,-0.013986,-0.440575,0.063474,0.634766
127,1.058226,0.076053,-0.0148,-0.146023,-0.44057,0.063467,0.63477
128,1.066558,0.082102,0.001772,-0.206696,-0.440608,0.063453,0.63479
129,1.074891,0.184473,0.019817,-0.138419,-0.44061,0.063491,0.634782
130,1.083223,0.124252,0.001937,-0.181019,-0.440566,0.063435,0.634752
131,1.091556,0.13978,0.003171,-0.122375,-0.440593,0.06344,0.634738
132,1.099888,0.125071,0.000535,-0.111252,-0.440556,0.063416,0.634718
133,1.108221,0.023785,-0.010792,-0.187335,-0.440596,0.063521,0.63466
134,1.116553,0.072217,0.005204,-0.175237,-0.440572,0.063466,0.634652
135,1.124885,0.160912,0.014291,-0.168772,-0.440595,0.063445,0.634679
136,1.133218,0.093077,0.002699,-0.184839,-0.440597,0.06353,0.634662
137,1.14155,0.188364,0.012389,-0.116011,-0.440609,0.063543,0.634672
138,1.149883,0.221313,0.019837,-0.107565,-0.44059,0.063471,0.634695
139,1.158215,0.250602,0.015595,-0.09798,-0.440563,0.06341,0.634718
140,1.166548,0.120998,-0.000958,-0.117493,-0.440579,0.063454,0.63473
141,1.17488,0.130345,0.005137,-0.163504,-0.440563,0.063435,0.634739
142,1.183213,0.220204,0.026206,-0.123733,-0.440605,0.063523,0.63475
143,1.191545,0.16145,-0.011525,-0.107823,-0.440593,0.063484,0.634785
144,1.199878,0.072419,-0.013867,-0.100917,-0.440607,0.06347,0.634802
145,1.20821,-0.008679,-0.023912,-0.072345,-0.440623,0.063481,0.634805
146,1.216543,0.134314,-0.002195,-0.151607,-0.440543,0.063368,0.63479
147,1.224875,0.126964,0.003028,-0.147756,-0.440548,0.063436,0.634754
148,1.233208,0.009744,-0.001936,-0.189238,-0.440593,0.063482,0.634761
149,1.24154,0.081824,-0.006628,-0.133364,-0.440598,0.063521,0.63477
150,1.249873,0.205671,0.018302,-0.159164,-0.440592,0.063446,0.634746
151,1.258205,0.262838,0.010191,-0.142036,-0.440559,0.063396,0.634722
152,1.266538,0.310395,0.026194,-0.087089,-0.440573,0.063409,0.634716
153,1.27487,0.050698,-0.011864,-0.177049,-0.44057,0.06348,0.634681
154,1.283203,0.070664,-0.021781,-0.134607,-0.440541,0.063332,0.63472
155,1.291535,0.194634,-0.002942,-0.096625,-0.440582,0.063438,0.634709
156,1.299868,0.121897,0.000795,-0.174291,-0.440553,0.063452,0.634693
157,1.3082,0.162475,0.016192,-0.205599,-0.440609,0.063499,0.634727
158,1.316533,0.154295,0.00705,-0.19587,-0.440579,0.063444,0.634724
159,1.324865,0.044158,-0.007014,-0.152305,-0.440555,0.063418,0.634749
160,1.333198,0.067484,-0.007797,-0.098063,-0.440579,0.063408,0.634751
161,1.34153,0.072914,-0.015001,-0.097199,-0.440556,0.063406,0.634764
162,1.349863,0.101649,-0.010938,-0.075927,-0.440559,0.063449,0.63475
163,1.358195,0.049016,-0.018216,-0.105296,-0.440553,0.063452,0.634767
164,1.366528,0.16831,0.00122,-0.028047,-0.440561,0.063408,0.634767
165,1.37486,0.138887,-0.009912,-0.070344,-0.440565,0.063404,0.634774
166,1.383193,0.05739,-0.015552,-0.159594,-0.440567,0.06347,0.63475
167,1.391525,0.030267,-0.010686,-0.143406,-0.440584,0.063441,0.63473
168,1.399858,0.155915,0.007945,-0.077204,-0.440598,0.063487,0.634737
169,1.40819,0.066893,-0.006798,-0.150761,-0.440584,0.063495,0.634688
170,1.416522,0.171191,0.00276,-0.092567,-0.440583,0.063538,0.634684
171,1.424855,0.025784,-0.034141,-0.081233,-0.440587,0.063485,0.634687
172,1.433187,0.007356,-0.019433,-0.130623,-0.440555,0.063459,0.634663
173,1.44152,0.190374,0.003736,-0.115987,-0.440547,0.063426,0.634655
174,1.449852,0.226807,-0.003005,-0.028569,-0.440591,0.063498,0.634672
175,1.458185,0.233585,0.016798,-0.107258,-0.440577,0.063512,0.634684
176,1.466517,0.14981,0.003488,-0.126153,-0.440573,0.063436,0.634718
177,1.47485,0.214334,0.015317,-0.153189,-0.440571,0.063467,0.634722
178,1.483182,0.081304,-0.008176,-0.133381,-0.440569,0.06344,0.634737
