pwm,psi,time
190,7.01,120.55
190,7,120.66
190,6.98,120.76
190,6.98,120.86
190,6.97,120.96
190,7,121.06
191,6.99,121.16
191,7,121.26
191,6.98,121.36
191,6.99,121.46
191,7.01,121.57
191,7.02,121.67
191,7.01,121.77
191,7.04,121.87
191,7.06,121.97
191,7.07,122.07
192,7.04,122.17
192,7.04,122.27
192,7.01,122.37
192,6.97,122.47
192,6.97,122.58
192,6.99,122.68
192,7,122.78
192,7,122.88
192,7.03,122.98
192,7.04,123.08
193,7.04,123.18
193,7.06,123.28
193,7.08,123.38
193,7.08,123.49
193,6.99,123.59
193,7,123.69
193,7.01,123.79
193,7.05,123.89
193,7.05,123.99
193,7.06,124.09
194,7.07,124.19
194,7.06,124.29
194,7.02,124.39
194,7,124.5
194,7.01,124.6
194,7.01,124.7
194,6.99,124.8
194,7,124.9
194,6.99,125
194,7.01,125.1
195,7,125.2
195,7.01,125.3
195,7.02,125.41
195,7.03,125.51
195,7.05,125.61
195,7.05,125.71
195,7.04,125.81
195,7.03,125.91
195,7.04,126.01
195,7.03,126.11
194,7.04,126.21
194,7.04,126.31
194,7.03,126.42
194,7.04,126.52
194,7.05,126.62
194,7.06,126.72
194,7.05,126.82
194,7.05,126.92
194,7.02,127.02
194,7.03,127.12
193,7.05,127.22
193,7.09,127.33
193,7.08,127.43
193,7.05,127.53
193,7.05,127.63
193,7.07,127.73
193,7.05,127.83
193,7.07,127.93
193,7.06,128.03
192,7.08,128.13
192,7.07,128.24
192,7.07,128.34
192,7.04,128.44
192,7.05,128.54
192,7.08,128.64
192,7.09,128.74
192,7.09,128.84
192,7.07,128.94
192,7.06,129.04
191,7.06,129.15
191,7.04,129.25
191,7.05,129.35
191,7.05,129.45
191,7.06,129.55
191,7.07,129.65
191,7.07,129.75
191,7.08,129.85
191,7.07,129.95
191,7.05,130.05
190,7.05,130.16
190,7.05,130.26
190,7.05,130.36
190,7.04,130.46
190,7.02,130.56
190,7.06,130.66
190,7.05,130.76
190,7.05,130.86
190,7.02,130.96
190,7.03,131.07
189,7.04,131.17
189,7.04,131.27
189,7.03,131.37
189,7.04,131.47
189,7.03,131.57
189,7.03,131.67
189,7.02,131.77
189,7.02,131.87
189,7.02,131.97
189,7.01,132.08
188,7,132.18
188,7,132.28
188,7.01,132.38
188,7,132.48
188,7,132.58
188,7.01,132.68
188,7.01,132.78
188,6.98,132.88
188,6.98,132.99
188,6.99,133.09
187,7,133.19
187,7,133.29
187,6.99,133.39
187,6.96,133.49
187,6.97,133.59
187,6.97,133.69
187,7.02,133.79
187,7.02,133.89
187,7.02,134
187,7,134.1
186,6.99,134.2
186,6.98,134.3
186,6.98,134.4
186,6.97,134.5
186,7,134.6
186,7,134.7
186,6.99,134.8
186,6.98,134.91
186,6.98,135.01
186,6.98,135.11
185,6.97,135.21
185,6.98,135.31
185,6.97,135.41
185,6.95,135.51
185,6.95,135.61
185,7,135.71
185,7.01,135.81
185,7.03,135.91
185,6.97,136.02
185,6.95,136.12
184,6.95,136.22
184,6.94,136.32
184,6.92,136.42
184,6.95,136.52
184,6.99,136.62
184,7,136.72
184,6.98,136.83
184,6.95,136.93
184,6.95,137.03
184,6.97,137.13
183,7,137.23
183,7,137.33
183,6.92,137.43
183,6.94,137.53
183,6.95,137.63
183,6.99,137.73
183,6.98,137.84
183,6.97,137.94
183,6.93,138.04
183,6.93,138.14
182,6.95,138.24
182,6.97,138.34
182,6.96,138.44
182,6.96,138.54
