tiempo_s,presion_psi,presion_kPa,desplazamiento_mm
3.03,0.371112275,2.5587290646405525,0.07143616914857058
3.04,0.3735229,2.575349738940396,0.07200333088105904
3.05,0.375933525,2.59197041324024,0.07257093184240349
3.06,0.378357925,2.6086860628217976,0.0731429797186524
3.07,0.380782325,2.625401712403355,0.07371547299157949
3.08,0.3832205,2.642212337266626,0.07429508793290936
3.09,0.385658675,2.659022962129897,0.07487249266636056
3.1,0.388110625,2.6759285622748807,0.07545703317425244
3.11,0.39057635,2.6929291377015785,0.07605138772393631
3.12,0.393042075,2.709929713128276,0.07664087829823218
3.13,0.3955078,2.7269302885549735,0.07723083525910385
3.14,0.3979873,2.7440258392633843,0.0778279587589493
3.15,0.4004805749999999,2.761216365253508,0.07843226114163421
3.16,0.40297385,2.778406891243633,0.07903437527701997
3.17,0.405467125,2.795597417233757,0.07963429816801301
3.18,0.4079741749999999,2.8128829185055944,0.0802440904437603
3.19,0.4104949999999999,2.8302633950591454,0.08086109307604776
3.2,0.413015825,2.8476438716126973,0.08147591836567386
3.21,0.415550425,2.865119323447962,0.08209796885131278
3.22,0.418085025,2.8825947752832266,0.0827178464092896
3.23,0.4206334,2.9001652024002045,0.08334496411452975
3.24,0.423181775,2.9177356295171823,0.0839725938281226
3.25,0.425743925,2.9354010319158736,0.08460748101542395
3.26,0.428306075,2.953066434314565,0.08524020649205233
3.27,0.430882,2.9708268119949697,0.08588020464578872
3.28,0.433457925,2.9885871896753744,0.08651804564203851
3.29,0.436047625,3.0064425426374926,0.08716586079882406
3.3,0.4386511,3.024392870881324,0.0878209793823383
3.31,0.441254575,3.0423431991251553,0.0884739554556494
3.32,0.4438580499999999,3.0602935273689864,0.08912478590709869
3.33,0.4464753,3.078338830894532,0.08978562849032518
3.34,0.44909255,3.096384134420077,0.09044433246628453
3.35,0.451723575,3.114524413227335,0.09111037581649407
3.36,0.454368375,3.1327596673163067,0.09178377198982901
3.37,0.4570131749999999,3.1509949214052777,0.09245504225425814
3.38,0.45967175,3.1693251507759634,0.09313637794483919
3.39,0.462330325,3.1876553801466483,0.09381559493837392
3.4,0.4649889,3.2059856095173336,0.09449269006646456
3.41,0.46766125,3.224410814169732,0.09517987506488565
3.42,0.470347375,3.242930994103844,0.09587176449946022
3.43,0.4730334999999999,3.2614511740379553,0.09656424768225559
3.44,0.4757334,3.280066329253781,0.09726685683286834
3.45,0.4784333,3.2986814844696064,0.09796466197132704
3.46,0.4811332,3.3172966396854315,0.09866306865733057
3.47,0.4838468749999999,3.3360067701829696,0.09936891894577997
3.48,0.486574325,3.354811875962222,0.1000822269168967
3.49,0.4893017749999999,3.3736169817414736,0.1007961558849456
3.5,0.4920430000000001,3.392517062802441,0.1015175617351863
3.51,0.4947842249999999,3.4114171438634044,0.1022368863595298
3.52,0.4975392249999999,3.4304122002060837,0.1029664182778271
3.53,0.500294225,3.449407256548763,0.1036911619113346
3.54,0.503063,3.4684972881731553,0.1044288483174579
3.55,0.505831775,3.487587319797547,0.1051617517220407
3.56,0.508614325,3.5067723267036532,0.1059049040462119
3.57,0.511396875,3.5259573336097585,0.1066459959347072
3.58,0.5141931999999999,3.545237315797577,0.1073946380777181
3.59,0.5169895250000001,3.564517297985397,0.1081439473963317
3.6,0.519799625,3.583892255454929,0.1089008269293934
3.61,0.5226097249999999,3.603267212924461,0.1096556593785118
3.62,0.5254336,3.622737145675707,0.1104208056408407
3.63,0.528257475,3.642207078426953,0.1111839128566281
3.64,0.531095125,3.6617719864599123,0.1119546281465353
3.65,0.5339327749999999,3.681336894492871,0.1127260397818835
3.66,0.5367841999999999,3.7009967778075437,0.1135050799210465
3.67,0.539635625,3.7206566611222165,0.1142820947563519
3.68,0.542500825,3.7404115197186023,0.1150694897960615
3.69,0.545366025,3.7601663783149886,0.1158548677887609
3.7,0.548245,3.780016212193088,0.1166479130462831
3.71,0.55113775,3.7999610213529005,0.1174513785627614
3.72,0.554016725,3.819810855231,0.1182431442562047
3.73,0.55692325,3.8398506396725263,0.1190550478430288
3.74,0.559816,3.859795448832339,0.1198552474277863
3.75,0.5627363,3.8799302085555785,0.120672878545615
3.76,0.5656566,3.900064968278818,0.1214912687057364
3.77,0.5685769,3.9201997280020584,0.1223076729992106
3.78,0.5715109749999999,3.9404294630070105,0.1231318265803223
3.79,0.5744450499999999,3.960659198011963,0.123956748386395
3.8,0.5773929,3.98098390829863,0.1247894410397778
3.81,0.58034075,4.001308618585297,0.1256229132963441
3.82,0.5833023749999999,4.021728304153676,0.1264641781324208
3.83,0.586264,4.042147989722056,0.1273089875073795
3.84,0.5892394,4.062662650572149,0.1281533496368462
3.85,0.5922148,4.083177311422243,0.1289985090170136
3.86,0.595203975,4.103786947554049,0.1298542570432363
3.87,0.5981931500000001,4.124396583685856,0.1307108166747898
3.88,0.6011961,4.145101195099375,0.1315779926086581
3.89,0.60419905,4.165805806512895,0.1324459946329914
3.9,0.6072157749999999,4.1866053932081275,0.1333246408510196
3.91,0.6102325,4.2074049799033615,0.1342041277758602
3.92,0.6132492249999999,4.228204566598595,0.1350567987621262
3.93,0.6162934999999999,4.2491941038572545,0.1359576305870204
3.94,0.619324,4.270088665834201,0.1368494875594292
3.95,0.6223682749999999,4.291078203092861,0.1377243537285575
3.96,0.625426325,4.312162715633235,0.1386376339508884
3.97,0.6284843749999999,4.333247228173608,0.1395240727482574
3.98,0.6315561999999999,4.354426715995696,0.1404489822125459
3.99,0.634628025,4.375606203817783,0.1413470373203094
4.0,0.63769985,4.396785691639869,0.1422459654815809
4.01,0.6407854500000001,4.418060154743671,0.1431556599132745
4.02,0.643884825,4.439429593129184,0.1441039392409155
4.03,0.6469841999999999,4.460799031514696,0.1450253383411025
4.04,0.650083575,4.482168469900211,0.1459476408893908
4.05,0.6531967249999999,4.5036328835674375,0.1468807681634177
4.06,0.6563236499999999,4.525192272516378,0.1478247419566522
